burn_units,burn_tao,n_entries,n_quits,n_rereg,eq_crowd,skilled_steady_share,skilled_net_tao,noise_total_burn_tao,noise_total_emis_tao,entrants_cleared,mom24_n,mom24_net_pc_tao,mom72_n,mom72_net_pc_tao,mom168_n,mom168_net_pc_tao,tmom72_n,tmom72_net_pc_tao,tmom168_n,tmom168_net_pc_tao,coinflip_n,coinflip_net_pc_tao,lottery_n,lottery_net_pc_tao,cell,wr,burn_mult,entries_per_day,seed,clear_day,cleared,noise_passes,skilled_paid_pd,noise_paid_pd,mom_ev_pd,unalloc_steady
0.0,0.0,48,47,0,0.9329608938547486,0.98,6769.66436799839,0.0,136.11063199938488,0,0,,0,,0,,25,0.4572810127208454,23,-0.6385962070904382,0,,0,,headline-70,0.7,0.0,1,0,25.5,1,0,676.966436799839,13.611063199938489,-0.009065759718479637,1.3180021940382445e-17
0.0,0.0,48,47,0,0.9329608938547486,0.9800000000000002,6734.327225111275,0.0,136.18110821984837,0,0,,0,,0,,20,0.8826535849119999,28,-0.7442243901012663,0,,0,,headline-70,0.7,0.0,1,1,29.0,1,0,673.4327225111275,13.618110821984837,0.0069214597405366785,-1.615198767203731e-17
0.0,0.0,48,47,0,0.9329608938547486,0.6473059060099785,5886.907123285972,0.0,984.7678767127283,2,0,,0,,0,,27,0.40429196148657215,21,39.73741306229271,0,,0,,headline-70,0.7,0.0,1,2,29.0,1,2,588.6907123285972,98.47678767127283,2.007085251188964,8.902975604826965e-17
0.0,0.0,48,47,0,0.9329608938547486,0.6756446485907769,5871.371640772076,0.0,998.636692560816,2,0,,0,,0,,19,0.28701139680212706,29,29.44197091645282,0,,0,,headline-70,0.7,0.0,1,3,29.0,1,2,587.1371640772076,99.8636692560816,1.4864491156627473,5.737186021107653e-17
0.0,0.0,48,47,0,0.9329608938547486,0.6877508624728886,6003.5177390114,0.0,935.4572609884167,2,0,,0,,0,,25,-0.2579060640752566,23,34.89298231068932,0,,0,,headline-70,0.7,0.0,1,4,22.0,1,2,600.3517739011401,93.54572609884167,1.731753812330703,6.667540511017002e-17
0.0,0.0,48,47,0,0.9329608938547486,0.9523305920182286,6467.481704867623,0.0,403.69329513149063,1,0,,0,,0,,25,-0.17046717650432056,23,11.67776761302847,0,,0,,headline-70,0.7,0.0,1,5,29.0,1,1,646.7481704867623,40.36932951314906,0.5753650218262074,1.0890316167994436e-16
0.0,0.0,48,47,0,0.9329608938547486,0.9799805536142738,6433.250032255251,0.0,438.42496774431874,1,0,,0,,0,,25,-0.05427484444464045,23,13.061544322216994,0,,0,,headline-70,0.7,0.0,1,6,29.0,1,1,643.3250032255252,43.84249677443187,0.6503634738886177,1.0830876853361339e-16
0.0,0.0,48,47,0,0.9329608938547486,0.6829128369405009,6270.992235539337,0.0,667.9827644591932,1,0,,0,,0,,25,0.8340358205163522,23,22.076763021819154,0,,0,,headline-70,0.7,0.0,1,7,22.0,1,1,627.0992235539337,66.79827644591931,1.1455399421167751,1.2482256072950433e-17
0.0,0.0,48,47,0,0.9329608938547486,0.6784267679090277,5869.721643203521,0.0,1000.920023462845,2,0,,0,,0,,21,0.02310758954431015,27,31.891423875480392,0,,0,,headline-70,0.7,0.0,1,8,29.0,1,2,586.9721643203521,100.0920023462845,1.5957265732512351,-6.3574223477138854e-18
0.0,0.0,48,47,0,0.9329608938547486,0.7280220556618345,5939.233771491447,0.0,864.7078951751041,2,0,,0,,0,,24,1.5515833553783218,24,28.670982300065855,0,,0,,headline-70,0.7,0.0,1,9,36.0,1,2,593.9233771491447,86.47078951751041,1.511128282772209,6.067978728630977e-17
0.0,0.0,48,47,0,0.9329608938547486,0.98,6735.82905268554,0.0,135.84594731225008,0,0,,0,,0,,25,0.4466936252354528,23,-0.6385962070904382,0,,0,,headline-50,0.5,0.0,1,0,29.0,1,0,673.582905268554,13.584594731225007,-0.009595129092749267,1.3722728726162899e-17
0.0,0.0,48,47,0,0.9329608938547486,0.9800000000000002,6448.907042084517,0.0,136.1929579134,0,0,,0,,0,,20,0.8938724820115226,28,-0.7518146846883668,0,,0,,headline-50,0.5,0.0,1,1,58.0,1,0,644.8907042084517,13.619295791339999,0.0071028898661577924,-1.2068765188546278e-17
